Date,Title,Link
2024-08-06,Многопоточность в играх,https://habr.com/ru/articles/831850/
2024-08-06,Не простое zigbee реле Modkam на 4 канала,https://habr.com/ru/articles/834334/
2024-08-06,Записки bash-скриптера. Листок первый. Сокращённый if,https://habr.com/ru/articles/833602/
2024-08-06,В сотый раз об эргономике рабочего места (на личном опыте),https://habr.com/ru/articles/834328/
2024-08-06,"Как увидеть атомы и субатомные частицы? Что будет, если уменьшиться до атомных размеров?",https://habr.com/ru/articles/834326/
2024-08-06,"Что ты делаешь не так, когда похудевший вес возвращается? Три ошибки",https://habr.com/ru/articles/834322/
2024-08-06,"Python, CryptoAPI и российские криптопровайдеры",https://habr.com/ru/articles/834312/
2024-08-06,"Малоизвестные фичи XRay, о которых невозможно молчать",https://habr.com/ru/articles/834290/
2024-08-06,Туннель IPv6 через IPv4 для обхода замедления Youtube на уровне роутера,https://habr.com/ru/articles/834308/
2024-08-06,SberBoom Home — новый этап в эволюции умных колонок,https://habr.com/ru/companies/sberdevices/articles/834208/
2024-08-06,Смотрим на обновлённые умные колонки SberBoom,https://habr.com/ru/articles/834302/
2024-08-06,Красавица из Питера приехала в Silicon Valley и научилась паять — и вы можете это тоже,https://habr.com/ru/articles/834300/
2024-08-06,Как исправить ошибку 500 в Joomla,https://habr.com/ru/articles/834298/
2024-08-06,11 IT-аутсорсеров для разработки интернет-магазинов и мобильных приложений в 2024 году,https://habr.com/ru/articles/834282/
2024-08-06,"Человек мухлюющий — читы в гейм-индустрии. Часть 2: Античиты, их проблемы и возможности",https://habr.com/ru/companies/serverspace/articles/832858/
2024-08-06,OSINT: инструментарий по анализу профилей VK,https://habr.com/ru/articles/834280/
2024-08-06,Миграция СУБД Oracle с RISC на Linux-x86 с помощью кроссплатформенных переносимых табличных пространств — Часть 2,https://habr.com/ru/articles/834278/
2024-08-06,"Шесть способов позаботиться о здоровье мозга, когда вам ещё нет 40",https://habr.com/ru/articles/834224/
2024-08-06,Делаем навык для Алисы. Alice-ktx,https://habr.com/ru/articles/834264/
2024-08-06,Зачем нужен «глаз» тропическому циклону и  как дуют ветры под облачным покровом циклона? Часть-2,https://habr.com/ru/articles/834254/
2024-08-06,Интерфейсы в JS с помощью @teqfw/di,https://habr.com/ru/articles/834002/
2024-08-06,Эффективная постановка и ведение задач в IT-проектах,https://habr.com/ru/articles/834248/
2024-08-06,Склад c ума: инженеры МФТИ создали первого робота-грузчика,https://habr.com/ru/companies/mipt/articles/834242/
2024-08-06,"Используем gocv, чтобы определить возраст, эмоции и пол человека по фото",https://habr.com/ru/companies/first/articles/833934/
2024-08-06,Беговые часы Amazfit Cheetah Pro: обзор после года активного использования,https://habr.com/ru/articles/834244/
2024-08-06,Из Linux уберут поддержку десятков ARM-чипов. Что происходит?,https://habr.com/ru/companies/ru_mts/articles/834148/
2024-08-06,"Всё уже придумали за нас: библиотеки с тысячами готовых GPT-промтов для работы, учёбы и отдыха",https://habr.com/ru/articles/834054/
2024-08-06,Командный дух и перестрелки: Как прошел турнир Девелоники по CS2,https://habr.com/ru/articles/834240/
2024-08-06,"Как я разработал собственную рекомендательную систему вакансий c hh.ru, и почему вам это тоже может пригодиться",https://habr.com/ru/articles/834238/
